car_name,manufacture,ownership,transmission,fuel_type,engine,kms_driven,Seats,car_prices
Hyundai,2021,1st Ownership,Automatic,Unleaded,4 cyl,35024, 5 Seats,26990
BMW,2015,1st Ownership,Automatic,Diesel,4 cyl,44145, 5 Seats,32000
BMW,2021,1st Ownership,Automatic,Premium,4 cyl,29567, 5 Seats,67988
Mazda,2007,1st Ownership,Automatic,Premium,4 cyl,223898, 5 Seats,7600
Hyundai,2013,1st Ownership,Automatic,Unleaded,4 cyl,155244, 4 Seats,17990
Toyota,2017,1st Ownership,Automatic,Unleaded,4 cyl,149988, 5 Seats,19950
Mitsubishi,2011,1st Ownership,Automatic,Unleaded,4 cyl,205373, 5 Seats,9990
BMW,2020,1st Ownership,Automatic,Premium,6 cyl,2858, 4 Seats,129988
Suzuki,2011,1st Ownership,Automatic,Unleaded,4 cyl,201011, 5 Seats,7999
Ford,2008,1st Ownership,Manual,Diesel,4 cyl,305593, 3 Seats,9995
Toyota,2009,1st Ownership,Automatic,Unleaded,-,165589,,19900
Peugeot,2017,1st Ownership,Automatic,Premium,3 cyl,57217, 5 Seats,16990
Holden,2017,1st Ownership,Automatic,Unleaded,4 cyl,83147, 5 Seats,17888
Mitsubishi,2015,1st Ownership,Automatic,Diesel,4 cyl,204000, 5 Seats,18995
Subaru,2013,1st Ownership,Manual,Unleaded,4 cyl,122077, 5 Seats,16857
Mazda,2015,1st Ownership,Automatic,Unleaded,4 cyl,60581, 5 Seats,22990
Nissan,2010,1st Ownership,Manual,Diesel,4 cyl,259488, 2 Seats,13950
Holden,2017,1st Ownership,Automatic,Unleaded,4 cyl,186954, 7 Seats,12990
Kia,2017,1st Ownership,Automatic,Unleaded,4 cyl,21350, 5 Seats,22990
Audi,2016,1st Ownership,Automatic,Premium,5 cyl,47926, 5 Seats,59990
Mitsubishi,2014,1st Ownership,Manual,Diesel,4 cyl,88861, 2 Seats,21880
Jeep,2007,1st Ownership,Automatic,Diesel,6 cyl,199000, 5 Seats,10990
Mercedes-Benz,2018,1st Ownership,Automatic,Hybrid,4 cyl,72540, 4 Seats,39990
Toyota,2020,1st Ownership,Automatic,Hybrid,4 cyl,87043, 5 Seats,39990
Ford,2012,1st Ownership,Manual,Diesel,5 cyl,254121, 5 Seats,21990
Honda,2008,1st Ownership,Manual,Premium,4 cyl,165450, 4 Seats,18990
Honda,2022,1st Ownership,Automatic,Unleaded,4 cyl,15087, 5 Seats,39990
Nissan,2013,1st Ownership,Automatic,Diesel,4 cyl,159056, 5 Seats,21990
Hyundai,2017,1st Ownership,Automatic,Diesel,4 cyl,97295, 5 Seats,31990
Mazda,2015,1st Ownership,Automatic,Unleaded,4 cyl,83095, 5 Seats,26990
Toyota,2015,1st Ownership,Automatic,Unleaded,-,167379,,32900
Isuzu,2017,1st Ownership,Automatic,Diesel,4 cyl,192988, 5 Seats,28999
Mercedes-Benz,2014,1st Ownership,Automatic,Diesel,4 cyl,105663, 5 Seats,22500
Toyota,2007,1st Ownership,Manual,Unleaded,4 cyl,222603, 3 Seats,17990
Ford,2020,1st Ownership,Automatic,Premium,3 cyl,22300, 5 Seats,27800
Mazda,2022,1st Ownership,Automatic,Unleaded,4 cyl,11824, 5 Seats,29990
Toyota,2007,1st Ownership,Automatic,Unleaded,4 cyl,250318, 5 Seats,10990
Jeep,2016,1st Ownership,Automatic,Premium,6 cyl,39967, 5 Seats,34800
Hyundai,2020,1st Ownership,Automatic,Unleaded,4 cyl,38341, 5 Seats,28984
Toyota,2020,1st Ownership,Automatic,Unleaded,4 cyl,7528, 5 Seats,32990
Honda,2018,1st Ownership,Automatic,Unleaded,4 cyl,94385, 5 Seats,19999
Toyota,2018,1st Ownership,Automatic,Premium,4 cyl,110047, 5 Seats,29990
Kia,2012,1st Ownership,Automatic,Diesel,4 cyl,164189, 7 Seats,16990
Holden,2013,1st Ownership,Automatic,Unleaded,4 cyl,106722, 5 Seats,10800
Isuzu,2018,1st Ownership,Automatic,Diesel,4 cyl,72650, 7 Seats,39880
Kia,2015,1st Ownership,Automatic,Unleaded,4 cyl,123624, 5 Seats,14995
Lexus,2014,1st Ownership,Automatic,Premium,6 cyl,155620, 5 Seats,27990
Mazda,2018,1st Ownership,Automatic,Unleaded,4 cyl,53426, 5 Seats,22990
Toyota,2009,1st Ownership,Automatic,Unleaded,4 cyl,114727, 5 Seats,14995
Toyota,2016,1st Ownership,Automatic,Unleaded,6 cyl,98983, 7 Seats,39280
Volkswagen,2007,1st Ownership,Automatic,Premium,4 cyl,160523, 5 Seats,10990
Holden,2015,1st Ownership,Automatic,Premium,8 cyl,96000, 5 Seats,47990
Nissan,2016,1st Ownership,Automatic,Unleaded,4 cyl,39397, 5 Seats,23950
Hyundai,2020,1st Ownership,Automatic,Unleaded,4 cyl,54368, 5 Seats,26990
Holden,2014,1st Ownership,Automatic,Unleaded,4 cyl,220683, 5 Seats,7990
Mini,2016,1st Ownership,Manual,Petrol,-,79008,,28999
Toyota,2013,1st Ownership,Automatic,Unleaded,4 cyl,89140, 5 Seats,17900
Toyota,2013,1st Ownership,Automatic,Unleaded,4 cyl,149974, 5 Seats,16990
Hyundai,2019,1st Ownership,Automatic,Unleaded,4 cyl,44879, 5 Seats,26990
Mazda,2016,1st Ownership,Automatic,Diesel,5 cyl,110909, 5 Seats,34913
Toyota,2013,1st Ownership,Automatic,Unleaded,4 cyl,109519, 5 Seats,19990
Kia,2020,1st Ownership,Automatic,Unleaded,6 cyl,19372, 5 Seats,55888
Toyota,2015,1st Ownership,Automatic,Unleaded,4 cyl,155198, 5 Seats,24950
Honda,2012,1st Ownership,Automatic,Unleaded,4 cyl,111323, 5 Seats,12800
BMW,2017,1st Ownership,Automatic,Premium,4 cyl,79882, 5 Seats,41280
Volkswagen,2008,1st Ownership,Manual,Premium,4 cyl,155839, 5 Seats,13990
Subaru,2018,1st Ownership,Automatic,Unleaded,4 cyl,66805, 5 Seats,33898
Ford,2011,1st Ownership,Automatic,Diesel,6 cyl,227646, 5 Seats,8913
Kia,2013,1st Ownership,Automatic,Unleaded,4 cyl,88465, 5 Seats,14888
Holden,2013,1st Ownership,Automatic,Unleaded,6 cyl,237426, 5 Seats,15995
Toyota,1999,1st Ownership,Manual,Diesel,6 cyl,41750, 3 Seats,48999
Toyota,2013,1st Ownership,Manual,Diesel,4 cyl,345194, 5 Seats,12990
Toyota,2017,1st Ownership,Automatic,Unleaded,4 cyl,130970, 5 Seats,23990
Honda,2016,1st Ownership,Automatic,Unleaded,4 cyl,35612, 5 Seats,24888
Audi,2013,1st Ownership,Automatic,Premium,4 cyl,148265, 5 Seats,13999
Hyundai,2018,1st Ownership,Automatic,Unleaded,4 cyl,83494, 5 Seats,27950
Mazda,2012,1st Ownership,Automatic,Unleaded,4 cyl,85492, 5 Seats,13990
Volkswagen,2013,1st Ownership,Automatic,Premium,4 cyl,126408, 5 Seats,19999
Renault,2017,1st Ownership,Manual,Diesel,4 cyl,173156, 3 Seats,22950
Peugeot,2013,1st Ownership,Manual,Premium,4 cyl,78783, 5 Seats,14990
Land,2020,1st Ownership,Automatic,Premium,4 cyl,26227, 5 Seats,69800
Honda,2017,1st Ownership,Automatic,Unleaded,4 cyl,101821, 5 Seats,20995
Mitsubishi,2014,1st Ownership,Manual,Diesel,4 cyl,221872, 5 Seats,14413
Nissan,2015,1st Ownership,Automatic,Unleaded,4 cyl,90691, 5 Seats,14776
Mazda,2018,1st Ownership,Automatic,Unleaded,4 cyl,24305, 5 Seats,29990
Audi,2007,1st Ownership,Automatic,Premium,4 cyl,168901, 5 Seats,7950
Honda,2005,1st Ownership,Automatic,Unleaded,4 cyl,167562, 5 Seats,7949
Audi,2016,1st Ownership,Automatic,Diesel,6 cyl,152995, 5 Seats,29999
Toyota,2007,1st Ownership,Automatic,Unleaded,4 cyl,236946, 5 Seats,8880
Holden,2011,1st Ownership,Automatic,Unleaded,6 cyl,183580, 5 Seats,12990
Mercedes-Benz,2005,1st Ownership,Automatic,Unleaded,-,180499,,9999
Nissan,2015,1st Ownership,Automatic,Diesel,4 cyl,124882, 5 Seats,19888
Mazda,2005,1st Ownership,Automatic,Premium,4 cyl,247519, 5 Seats,5950
Audi,2021,1st Ownership,Automatic,Premium,4 cyl,9819, 5 Seats,51990
Lexus,2004,1st Ownership,Automatic,Unleaded,6 cyl,124230, 5 Seats,16000
Mitsubishi,2020,1st Ownership,Automatic,Diesel,4 cyl,43839, 2 Seats,33990
Hyundai,2012,1st Ownership,Automatic,Unleaded,4 cyl,106286, 5 Seats,16990
Mercedes-Benz,2011,1st Ownership,Automatic,Unleaded,-,167420,,15999
Toyota,2018,1st Ownership,Automatic,Unleaded,6 cyl,128601, 7 Seats,36888
Subaru,2011,1st Ownership,Automatic,Premium,6 cyl,91016, 5 Seats,16999
Jaguar,2014,1st Ownership,Automatic,Diesel,4 cyl,38821, 5 Seats,29800
Nissan,2015,1st Ownership,Automatic,Unleaded,4 cyl,94239, 7 Seats,22990
Ford,2013,1st Ownership,Manual,Diesel,5 cyl,167122, 5 Seats,23913
